,pubDate,title,description,link,geo:lat,geo:long
93,"Sat, 04 Nov 2023 09:45:11 +1100","004, Darlinghurst Fire Station","100-102 Victoria Street, Darlinghurst NSW 2010",https://www.fire.nsw.gov.au/page.php?id=9210&station=95,-33.876197,151.222171
94,"Sat, 04 Nov 2023 09:45:11 +1100","069, Dee Why Fire Station","38 Fisher Road, Dee Why NSW 2099",https://www.fire.nsw.gov.au/page.php?id=9210&station=96,-33.75183,151.28479
95,"Sat, 04 Nov 2023 09:45:11 +1100","284, Delroy Fire Station","15 Whylandra Street, Delroy (Dubbo) NSW 2830",https://www.fire.nsw.gov.au/page.php?id=9210&station=97,-32.244263,148.595537
96,"Sat, 04 Nov 2023 09:45:11 +1100","278, Deniliquin Fire Station","264 George Street, Deniliquin NSW 2710",https://www.fire.nsw.gov.au/page.php?id=9210&station=98,-35.529164,144.964567
97,"Sat, 04 Nov 2023 09:45:11 +1100","283, Denman Fire Station","Rosemount Street, Denman NSW 2328",https://www.fire.nsw.gov.au/page.php?id=9210&station=99,-32.393717,150.682709
98,"Sat, 04 Nov 2023 09:45:11 +1100","279, Dorrigo Fire Station","2 Cudgery Street, Dorrigo NSW 2453",https://www.fire.nsw.gov.au/page.php?id=9210&station=100,-30.340552,152.712959
99,"Sat, 04 Nov 2023 09:45:11 +1100","292, Doyalson Fire Station","51-53 Pacific Highway, Doyalson NSW 2262",https://www.fire.nsw.gov.au/page.php?id=9210&station=101,-33.1984287,151.5230725
100,"Sat, 04 Nov 2023 09:45:11 +1100","017, Drummoyne Fire Station","29 - 35 Lyons Road, Drummoyne NSW 2047",https://www.fire.nsw.gov.au/page.php?id=9210&station=102,-33.851778,151.153874
101,"Sat, 04 Nov 2023 09:45:11 +1100","280, Dubbo Fire Station","102 Wheelers Lane, Dubbo NSW 2830",https://www.fire.nsw.gov.au/page.php?id=9210&station=103,-32.250917,148.631011
102,"Sat, 04 Nov 2023 09:45:11 +1100","281, Dunedoo Fire Station","30 Digilah Street, Dunedoo NSW 2844",https://www.fire.nsw.gov.au/page.php?id=9210&station=104,-32.017853,149.397429
103,"Sat, 04 Nov 2023 09:45:11 +1100","282, Dungog Fire Station","78 Lord Street, Dungog NSW 2420",https://www.fire.nsw.gov.au/page.php?id=9210&station=105,-32.403948,151.755075
104,"Sat, 04 Nov 2023 09:45:11 +1100","078, Ropes Crossing Fire Station","1a Ellsworth Drive, Tregear NSW 2770",https://www.fire.nsw.gov.au/page.php?id=9210&station=106,-33.741668,150.7865499
105,"Sat, 04 Nov 2023 09:45:11 +1100","373, East Maitland Fire Station","Cnr Chelmsford Drive & Newcastle Street, East Maitland (Metford) NSW 2323",https://www.fire.nsw.gov.au/page.php?id=9210&station=107,-32.762508,151.596923
106,"Sat, 04 Nov 2023 09:45:11 +1100","059, Eastwood Fire Station","269 Rowe Street, Eastwood NSW 2122",https://www.fire.nsw.gov.au/page.php?id=9210&station=108,-33.792224,151.077471
107,"Sat, 04 Nov 2023 09:45:11 +1100","286, Eden Fire Station","44 Hopkins Street, Eden NSW 2551",https://www.fire.nsw.gov.au/page.php?id=9210&station=109,-37.043082,149.896486
108,"Sat, 04 Nov 2023 09:45:11 +1100","033, Engadine Fire Station","8 Preston Avenue, Engadine NSW 2233",https://www.fire.nsw.gov.au/page.php?id=9210&station=110,-34.067461,151.01339
109,"Sat, 04 Nov 2023 09:45:11 +1100","288, Evans Head Fire Station","76 Woodburn Street, Evans Head NSW 2473",https://www.fire.nsw.gov.au/page.php?id=9210&station=111,-29.113527,153.427781
110,"Sat, 04 Nov 2023 09:45:11 +1100","073, Yennora Fire Station","198 Fairfield Road, Yennora  NSW 2161",https://www.fire.nsw.gov.au/page.php?id=9210&station=112,-33.8590035,150.9588678
111,"Sat, 04 Nov 2023 09:45:11 +1100","293, Finley Fire Station","239 Murray Street, Finley NSW 2713",https://www.fire.nsw.gov.au/page.php?id=9210&station=113,-35.644419,145.575613
112,"Sat, 04 Nov 2023 09:45:11 +1100","294, Forbes Fire Station","46 Templar Street, Forbes NSW 2871",https://www.fire.nsw.gov.au/page.php?id=9210&station=114,-33.38506,148.009302
113,"Sat, 04 Nov 2023 09:45:11 +1100","051, Forestville Fire Station","8 Cook Street, Forestville NSW 2087",https://www.fire.nsw.gov.au/page.php?id=9210&station=115,-33.760372,151.218598
114,"Sat, 04 Nov 2023 09:45:11 +1100","295, Forster Fire Station","22 Lake Street, Forster NSW 2428",https://www.fire.nsw.gov.au/page.php?id=9210&station=116,-32.183097,152.51711
115,"Sat, 04 Nov 2023 09:45:11 +1100","300, Gilgandra Fire Station","15 Warren Road, Gilgandra NSW 2827",https://www.fire.nsw.gov.au/page.php?id=9210&station=117,-31.711333,148.657863
116,"Sat, 04 Nov 2023 09:45:11 +1100","023, Gladesville Fire Station","7a Pittwater Road, Gladesville NSW 2111",https://www.fire.nsw.gov.au/page.php?id=9210&station=118,-33.829778,151.127845
117,"Sat, 04 Nov 2023 09:45:11 +1100","018, Glebe Fire Station","75 St Johns Rd, Glebe NSW 2037",https://www.fire.nsw.gov.au/page.php?id=9210&station=119,-33.881101,151.186449
118,"Sat, 04 Nov 2023 09:45:11 +1100","302, Glen Innes Fire Station","202 Bourke Street, Glen Innes NSW 2370",https://www.fire.nsw.gov.au/page.php?id=9210&station=120,-29.739169,151.737553
119,"Sat, 04 Nov 2023 09:45:11 +1100","301, Glenbrook Fire Station","21 Wascoe Street, Glenbrook NSW 2773",https://www.fire.nsw.gov.au/page.php?id=9210&station=121,-33.763994,150.616406
120,"Sat, 04 Nov 2023 09:45:11 +1100","303, Gloucester Fire Station","40 King Street, Gloucester NSW 2422",https://www.fire.nsw.gov.au/page.php?id=9210&station=122,-32.006969,151.95975
121,"Sat, 04 Nov 2023 09:45:11 +1100","316, Goonellabah Fire Station","13 Taylor Avenue, Goonellabah NSW 2480",https://www.fire.nsw.gov.au/page.php?id=9210&station=123,-28.81762,153.318627
122,"Sat, 04 Nov 2023 09:45:11 +1100","037, Gordon Fire Station","966 Pacific Highway, Gordon (Pymble) NSW 2072",https://www.fire.nsw.gov.au/page.php?id=9210&station=124,-33.749244,151.145655
123,"Sat, 04 Nov 2023 09:45:11 +1100","304, Gosford Fire Station","12 Brougham Street, Gosford (East) NSW 2250",https://www.fire.nsw.gov.au/page.php?id=9210&station=125,-33.439868,151.357161
124,"Sat, 04 Nov 2023 09:45:11 +1100","305, Goulburn Fire Station","157 - 161 Bourke Street, Goulburn NSW 2580",https://www.fire.nsw.gov.au/page.php?id=9210&station=126,-34.751664,149.718204
125,"Sat, 04 Nov 2023 09:45:11 +1100","306, Grafton Fire Station","94 Prince Street, Grafton NSW 2460",https://www.fire.nsw.gov.au/page.php?id=9210&station=127,-29.68908,152.935502
126,"Sat, 04 Nov 2023 09:45:11 +1100","308, Grenfell Fire Station","69 Camp Street, Grenfell NSW 2810",https://www.fire.nsw.gov.au/page.php?id=9210&station=128,-33.895338,148.161635
127,"Sat, 04 Nov 2023 09:45:11 +1100","311, Griffith Fire Station","11 Jondaryan Avenue, Griffith NSW 2680",https://www.fire.nsw.gov.au/page.php?id=9210&station=129,-34.289742,146.050657
128,"Sat, 04 Nov 2023 09:45:11 +1100","055, Guildford Fire Station","263 Guildford Road, Guildford NSW 2161",https://www.fire.nsw.gov.au/page.php?id=9210&station=130,-33.854223,150.988395
129,"Sat, 04 Nov 2023 09:45:11 +1100","312, Gulgong Fire Station","1 Medley St, Gulgong NSW 2852",https://www.fire.nsw.gov.au/page.php?id=9210&station=131,-32.352804,149.53449
130,"Sat, 04 Nov 2023 09:45:11 +1100","313, Gundagai Fire Station","28 Otway Street, Gundagai NSW 2722",https://www.fire.nsw.gov.au/page.php?id=9210&station=132,-35.062423,148.103307
131,"Sat, 04 Nov 2023 09:45:11 +1100","314, Gunnedah Fire Station","96 Barber Street, Gunnedah NSW 2380",https://www.fire.nsw.gov.au/page.php?id=9210&station=133,-30.978859,150.251505
132,"Sat, 04 Nov 2023 09:45:11 +1100","315, Guyra Fire Station","73 Ollera Street, Guyra NSW 2365",https://www.fire.nsw.gov.au/page.php?id=9210&station=134,-30.216469,151.670271
